term,estimate,std_error,t_value,p_value
mean.forest.prediction,1.3815631886804909,0.31482166532097666,4.388399341169602,5.733431082627223e-6
differential.forest.prediction,1.723938076441712,0.13271636254222052,12.989642297446801,9.406053187950991e-39
