variable,importance
degurba,4.30299234944358e-4
public_services,0.012086185572336575
unemployed,0.08257597250314373
services_workers,0.0877610085316106
agriculture_workers,0.12568687334980366
var_younger_te,0.13302942438906576
var_older_te,0.24744812755742782
population_log,0.31098210886166744
