pop_quintile,n,median_population,mean_CATE,median_CATE
Q1 (smallest),4883,66.99999999999997,-0.7052965024410137,-0.7166056327493988
Q2,4845,188,-0.11646968000484656,-0.09673640303856144
Q3,4860,478.99999999999983,0.3455090199562901,0.30774147994058915
Q4,4863,1455.0000000000007,0.8790556302644734,0.8680172264933876
Q5 (largest),4862,7869.999999999994,1.4298874744448644,1.1603132715556725
